唉声叹气	哀声叹气
在会议上	再会议上
书籍满架	书藉满架
别出心裁	别出心才 别出新裁
病入膏肓	病人膏盲 病入膏盲
不假思索	不加思索
川流不息	穿流不息
奋发图强	愤发图强
蜂拥而来	蜂涌而来
面面俱到	面面具到
釜底抽薪	斧底抽薪
富丽堂皇	富丽唐皇 富丽堂黄
张弛合度	张驰合度
天涯海角	天崖海角
汗流浃背	汗流夹背
好高骛远	好高鹜远
大声喝彩	大声喝采
焕然一新	涣然一新
业已	业以
痴心妄想	痴心忘想 痴心枉想
金碧辉煌	金壁辉煌
精神涣散	精神焕散
不可思议	不可思异 不可思义
流芳百世	留芳百世
留连忘返	留恋忘返
漫山遍野	满山遍野
面黄肌瘦	面黄饥瘦
明辨是非	明辫是非 明辩是非
名副其实	名符其实 名付其实
名列前茅	名列前矛
模糊不清	摸糊不清
漠不关心	莫不关心
恼羞成怒	脑羞成怒
迫不及待	迫不急待
急不可待	及不可待
休养生息	修养生息
早自修	早自休
喧宾夺主	宣宾夺主
一筹莫展	一愁莫展
略胜一筹	略胜一愁
直截了当	直接了当
走投无路	走途无路 走头无路
出人头地	出人投地
夜幕降临	夜暮降临
暮色苍茫	蓦色苍茫
真知灼见	真知卓见 真知勺见
和蔼可亲	和霭可亲
称心如意	趁心如意
墨守成规	默守成规 默守陈规 墨守陈规
一张一弛	一张一驰
相形见绌	相形见拙
黯然神伤	暗然神伤
戳穿阴谋	戮穿阴谋
飞扬跋扈	飞扬跋户 飞扬拔扈
鞠躬尽瘁	鞠躬尽萃 鞠躬尽粹
披星戴月	披星带月
进制殚精竭虑	进制掸精竭虑
稗官野史	裨官野史 卑宫野史
投机倒把	投机捣把
这倒不错	这到不错
中流砥柱	中流抵柱 中流坻柱
自暴自弃	自抱自弃 自曝自弃 自爆自弃
英雄辈出	英雄倍出
并行不悖	并行不背 并行不脖
辩证法	辨证法
翻云覆雨	翻云复雨 反云覆雨
浪费金钱	浪废金钱
破釜沉舟	破斧沉舟
原子辐射	原子副射
布置完毕	部置完毕
令人恐怖	令人恐布
扬长而去	扬常而去
天崩地坼	天崩地拆
入不敷出	入不付出
感人腑肺	感人腑府
言简意赅	言简意骇 言简意该
卑躬屈膝	卑恭屈膝 卑躬曲膝
灌输知识	贯输知识
羽扇纶巾	羽扇伦巾
发扬光大	发扬广大
性格粗犷	性格粗旷
行踪诡秘	行踪鬼秘
阴谋诡计	阴谋鬼计
貌合神离	貌和神离
和盘托出	合盘托出
曲高和寡	曲高合寡
万事亨通	万事享通
侯门如海	候门如海
惨绝人寰	惨绝人圜 惨绝人环
张皇失措	张慌失措 张惶失措
心灰意懒	心恢意懒
言谈诙谐	言谈恢谐
风雨如晦	风雨如诲
浑身是胆	混身是胆
杯盘狼藉	杯盘狼籍
嘉宾满座	佳宾满座
缄口不言	箴口不言 咸口不言
草菅人命	草管人命 草官人命
事过境迁	事过景迁
装裱	装表
兢兢业业	兢竞业业 精精业业
不胫而走	不径而走 不颈而走 不经而走
针灸疗法	针炙疗法
赳赳武夫	赳纠武夫
前倨后恭	前踞后恭
龙盘虎踞	龙盘虎据
相距不远	相距不矩
规规矩矩	规规矩距
狙击敌人	阻击敌人
千钧一发	千钓一发
工程竣工	工程峻工
热炕头	热坑头
不卑不亢	不卑不吭 不卑不抗
坑害好人	吭害好人
空前绝后	恐前绝后
脍炙人口	脍灸人口 烩炙人口
功亏一篑	功亏一匮 功亏一蒉 功亏一溃
心狠手辣	心狠手棘
无耻谰言	无耻滥言
可做蓝本	可做篮本
篮球健将	蓝球健将
书声琅琅	书声朗朗
身体羸弱	身体嬴弱 身体赢弱
大多雷同	大多类同
利害得失	厉害得失
变本加厉	变本加利
厉行节约	励行节约 力行节约
火中取栗	火中取粟
一枕黄粱	一枕黄梁
寥寥无几	廖寥无几 了了无几
浏览一遍	流览一遍
手榴弹	手溜弹
惨遭屠戮	惨遭屠戳
戮力同心	戳力同心
高官厚禄	高官厚录
庸庸碌碌	庸庸碌录 庸庸录录
语无伦次	语无论次 语无仑次 语无轮次
脉络分明	脉胳分明
无理谩骂	无理漫骂 无礼漫骂
望风披靡	望风披糜
观摩教学	观磨教学
碑帖临摹	碑帖临摩
呕心沥血	呕心历血 沤心沥血
金瓯无缺	金殴无缺 金欧无缺
无独有偶	无独有隅
坚如磐石	坚如磬石 坚如盘石
如法炮制	如法泡制 如法炮炮
蓬荜生辉	篷荜生辉 蓬壁生辉 篷筚生辉
披沙拣金	批沙拣金
嗜酒成癖	嗜酒成僻
纰漏百出	批漏百出
艰苦朴素	艰苦扑素
前仆后继	前扑后继
星罗棋布	星罗旗布 星罗棋旗
修葺一新	修茸一新
顷刻之间	倾刻之间
罄竹难书	磬竹难书 磐竹难书
为国捐躯	为国捐驱
怙恶不悛	沽恶不悛 怙恶不俊
入场券	入场卷
尚待商榷	尚待商确
却之不恭	缺之不恭
当仁不让	当人不让
人参鹿茸	人参鹿葺
矫揉造作	矫柔造作 矫糅造作 娇揉造作
耳濡目染	耳儒目染 耳语目染
歃血为盟	插血为盟
赡养父母	瞻养父母
礼尚往来	礼上往来
稍纵即逝	少纵即逝
首屈一指	手屈一指
授予奖章	受予奖章
军事部署	军事部暑 军事布署
不辨菽麦	不辨黍麦
肆无忌惮	肄无忌惮 肆无忌殚 肆无忌弹
辰巳午未	辰己午未
到处传诵	到处传颂
走一趟	走一堂
趟水过河	淌水过河
列出提纲	列出题纲
恬不知耻	腆不知耻 括不知耻 刮不知耻
铤而走险	挺而走险
如火如荼	如火如茶
深为惋惜	深为婉惜
甘冒不韪	甘冒不讳
从中斡旋	从中干旋
运筹帷幄	运筹惟幄 运筹帷握
戊戌政变	戍戌政变
定期会晤	定期会悟
雨声淅沥	雨声浙沥
月明星稀	月明星希
条分缕析	条分缕拆
全家迁徙	全家迁徒
瑕瑜互见	暇瑜互见
自顾不暇	自顾不瑕
声闻遐迩	声闻暇迩
向往光明	想往光明
骁勇善战	饶勇善战
通宵不眠	通霄不眠
直上重霄	直上重宵
歪风邪气	歪风斜气
不屑一顾	不宵一顾
睡眼惺忪	睡醒惺忪 睡眼醒忪
学识修养	学识休养
气喘吁吁	气喘嘘嘘
申酉戌亥	申酉戍亥
一切就绪	一切就序
栩栩如生	诩诩如生 栩诩如生
徇私舞弊	殉私舞弊 徇私舞敝 循私舞弊
循序渐进	循序惭进 循序前进 寻序渐进 循绪渐进
揠苗助长	偃苗助长
偃旗息鼓	堰旗息鼓 揠旗息鼓
举行宴会	举行晏会
湮没不闻	淹没不闻
此系赝品	此系膺品
敷衍塞责	敷演塞责
杳无音信	沓无音信
专程谒见	专程竭见
打躬作揖	打躬作辑
演绎归纳	演译归纳
苦心孤诣	苦心孤意 苦心孤旨 若心孤旨
一劳永逸	一劳永易
贻笑大方	遗笑大方
大学肄业	大学肆业
绿树成荫	绿树成茵 绿树成阴
一望无垠	一望无银
化学反应	化学反映
反映意见	反应意见
式样新颖	式样新疑
优柔寡断	犹柔寡断 忧柔寡断
良莠不齐	良秀不齐
手头宽裕	手头宽余
滥竽充数	烂芋充数 滥芋充数 滥于充数 烂竽充数 乱竽充数
向隅而泣	向偶而泣
始终不渝	始终不遇
逾期作废	渝期作废
元气大伤	原气大伤
断壁颓垣	断壁颓恒
缘木求鱼	沿木求鱼
销赃灭迹	销脏灭迹
心浮气躁	心浮气燥
鼓噪而进	鼓躁而进
读书札记	读书扎记
不眨眼	不贬眼
敲诈勒索	敲榨勒索
压榨平民	压诈平民
改弦更张	改弦更章
通货膨胀	通货膨涨
动辄得咎	动则得咎 动辙得咎 动辄得咨
计划缜密	计划慎密
举世震惊	举振震惊
仗义执言	仗义直言
掷地有声	掷地有抛
满脸皱纹	满脸绉纹
招摇撞骗	招谣撞骗 招摇装骗
梳妆打扮	梳装打扮
惴惴不安	惴揣不安 揣揣不安
缀句成篇	掇句成篇
呱呱坠地	呱呱堕地
心劳日拙	心劳日绌
恣意胡为	姿意胡为
胡作姿态	胡作恣态
恶意诅咒	恶意咀咒
编纂字典	编篡字典
虎视眈眈	虎视眈耽 虎视耽耽
安装	按装
甘拜下风	甘败下风
针砭	针贬
舶来品	泊来品
脉搏	脉博 脉膊
松弛	松驰 松池
精粹	精萃
重叠	重迭
度假村	渡假村
妨碍	防碍
辐射	幅射
一副对联	一幅对联
天翻地覆	天翻地复
气概	气慨
一鼓作气	一鼓足气 一股作气
悬梁刺股	悬梁刺骨
粗犷	粗旷
食不果腹	食不裹腹
震撼	振撼 振憾 震憾
凑合	凑和
候车室	侯车室
即使	既使
一如既往	一如继往 一如即往
挖墙脚	挖墙角
一诺千金	一偌千金 一诺千斤 一喏千金
竣工	峻工
不落窠臼	不落巢臼 不落窝臼
打蜡	打腊
死皮赖脸	死皮癞脸
蓝天白云	兰天白云
鼎力相助	鼎立相助 顶力相助
老两口	老俩口
黄粱美梦	黄梁美梦
瞭望	了望
水龙头	水笼头
杀戮	杀戳
痉挛	痉孪
美轮美奂	美仑美奂 美伦美奂 美轮美涣
啰唆	罗唆
蛛丝马迹	蛛丝蚂迹 珠丝马迹
萎靡不振	萎糜不振
沉湎	沉面 沉缅 沉腼
明信片	名信片
大拇指	大姆指
平添	凭添
出其不意	出奇不意
修葺	修茸
青睐	青徕 亲睐 青眯
声名鹊起	声名雀起
发轫	发韧
瘙痒病	搔痒病
欣赏	欣尝
谈笑风生	谈笑风声
人情世故	人情事故
有恃无恐	有持无恐
额手称庆	额首称庆
追溯	追朔
趋之若鹜	趋之若骛
迁徙	迁徒
洁白无瑕	洁白无暇
九霄	九宵
宣泄	渲泄
寒暄	寒渲 寒喧
旋律	炫律 弦律
赝品	厌品 膺品
不能自已	不能自己
犹如猛虎	尤如猛虎
竭泽而渔	竭泽而鱼
赃款	脏款
蘸水	醮水
蛰伏	蜇伏
装帧	装祯
饮鸩止渴	饮鸠止渴
坐镇	坐阵
旁征博引	旁证博引 旁证侧引
炙手可热	灸手可热
九州	九洲
床笫之私	床第之私
恣意妄为	姿意妄为
编纂	编篡
坐月子	做月子
慷慨	慷概 康慨
枯燥	枯躁
立竿见影	立竿见映 立杆见影
立下宏愿	立下弘愿
流光溢彩	流光异彩
贸然行事	冒然行事
明察暗访	明查暗访
怦然心动	砰然心动
歉收	欠收
切磋	切搓 切蹉
惹是生非	惹事生非
融会贯通	融汇贯通
山清水秀	山青水秀
神祇	神祗
声呐	声讷 声纳
时过境迁	时过景迁 事过景迁
售罄	售磬
水泄不通	水泻不通
水蒸气	水蒸汽
挑三拣四	挑三捡四
妥帖	妥贴
委曲求全	委屈求全
无所顾忌	无所顾及
毋庸置疑	勿庸置疑
陷阱	陷井 陷汫
消弭	消弥
笑眯眯	笑咪咪
严峻	严竣 严俊 严骏
一笔勾销	一笔勾消 一笔钩销
一刹那	一霎那
源远流长	渊远流长
黏合剂	粘合剂
针砭时弊	针贬时弊 针贬时敝
蒸馏水	蒸溜水
支支吾吾	支支唔唔
坐落	座落
蹚浑水	趟浑水
叱咤风云	叱诧风云
嗤之以鼻	斥之以鼻
怄气	呕气
慵懒	庸懒
阈值	阀值
璀璨	璀灿
羁绊	羁判 羁拌
貂蝉	貂婵
嬉笑怒骂	戏笑怒骂 嘻笑怒骂
停泊	停舶
雾凇	雾淞 雾松
安详	安祥
绊脚石	拌脚石
鞭笞	鞭苔
憋气	蹩气
兵荒马乱	兵慌马乱
病原体	病源体
博弈	搏弈
不省人事	不醒人事
部署	布署 部暑
恻隐之心	侧隐之心 测隐之心
掺和	掺合
长年累月	常年累月
充耳不闻	冲耳不闻
冲账	充账
蹿红	窜红 串红
淬炼	淬练 萃炼
大材小用	大才小用
大声疾呼	大声急呼
跌宕起伏	跌荡起伏
独辟蹊径	独辟溪径 独劈蹊径
渡过难关	度过难关
对簿公堂	对薄公堂
翻两番	翻两翻
烦躁	烦燥 烦澡
蜂拥而至	蜂涌而至
俯首帖耳	俯首贴耳
戛然而止	嘎然而止
古今杂糅	古今杂揉
哈密瓜	哈蜜瓜
河汊	河岔
鸿篇巨制	宏篇巨制
缉拿	辑拿
既往不咎	继往不究 继往不咎 既往不究
叫苦不迭	叫苦不叠
秸秆	秸杆
金刚钻	金钢钻
精疲力竭	筋疲力竭
狙击手	阻击手
巨擘	巨擎
诀窍	决窍
啰嗦	罗嗦 罗唆
滥觞	烂觞
犹如猛虎下山	尤如猛虎下山
关怀备至	关怀倍至
略见一斑	略见一般 略见一班
宽宏大度	宽洪大量
伶牙俐齿	伶牙利齿
名列前茅	名列前矛
挑拔是非	挑拔事非
待价而沽	待价而估
积毁销骨	积毁消骨
行踪诡密	行踪鬼密
精兵简政	精兵减政
蛊惑人心	盅惑人心 鼓惑人心
眼花缭乱	眼花潦乱 眼花瞭乱 眼花撩乱
销声匿迹	消声匿迹
不醒人事	不省人事
震撼人心	振撼人心 震憾人心
插科打诨	插科打浑
截然不同	绝然不同
要言不烦	要言不繁
层峦叠嶂	层峦迭嶂 层峦叠障
明火执仗	明火执杖 明火直仗
弥天大罪	迷天大罪
火势蔓延	火势漫延
饱经沧桑	饱经苍桑
无精打采	无精打彩
噤若寒蝉	禁若寒蝉
喋喋不休	碟碟不休 谍谍不休
虚无缥缈	虚无缥渺 虚无飘渺 虚无飘缈
计日程功	计日成功
牟取暴利	谋取暴利
相辅相承	相辅相成
好景不长	好景不常
请予接洽	请予接恰
政权颠覆	政权颠复
提心吊胆	提心掉胆 题心吊胆
无礼谩骂	无礼漫骂
很有裨益	很有俾益
按价赔偿	按价赔尝
玷污名誉	沾污名誉
图书装帧	图书装祯
战胜朝廷	战胜朝庭
水乳交融	水乳交溶
应接不暇	应接不遐
违法肇事	违法造事
冒天下之大不韪	冒天下之大不违
分道扬镳	分道扬标 分到扬镳 分道扬镖
殚精竭虑	殚精竭虚 单精竭虑 惮精竭虑
嘻皮笑脸	喜皮笑脸
远大抱负	远大报负
佩戴首饰	佩戴手饰
私下磋商	私下蹉商
璀璨夺目	璀烂夺目 璀灿夺目
德艺双馨	德艺双磬
心头烦躁	心头烦燥
万里平畴	万里平筹
高潮迭起	高潮叠起
群英荟萃	群英汇萃
湮没无闻	淹没无闻
千锤百炼	千锤百练
欢欣鼓舞	欢心鼓舞
常备不懈	长备不懈
引咎辞职	引疚辞职
不容置疑	不容质疑
百战不殆	百战不贻 百战不怠
举止安详	举止安祥
束之高阁	束之高搁
摩肩接踵	摸肩接踵 磨肩接踵
果断抉择	果断决择
茅屋修葺	茅屋修茸
良辰美景	良晨美景
赋予使命	赋与使命
偷盗销脏	偷盗消脏
濒临破产	频临破产
触目惊心	怵目惊心
若即若离	若既若离 若及若离
与日俱增	与日具增
绵里藏针	棉里藏针
骁勇无敌	晓勇无敌
不徇私情	不循私情
剑拔弩张	剑拔驽张
匪夷所思	匪贻所思 非夷所思
为虎作伥	为虎作账 为虎作昌 为虎作怅
渔翁得利	鱼翁得利
一抔黄土	一杯黄土
擢发难数	捉发难数
勤能补拙	勤能补绌
扑朔迷离	朴朔迷离 扑塑迷离
笑容可掬	笑容可鞠 笑容可局
置若罔闻	置若惘闻 置若往闻
面面相觑	面面相去 面面相觊
浑浑噩噩	浑浑恶恶
繁文褥节	烦文褥节
风声鹤唳	风声鹤泪 风声鹤戾 风生鹤唳
流言蜚语	流言飞语 流言诽语 流言非语
勘误校正	堪误校正
圆舞曲	园舞曲
巧夺天工	巧夺天功
寻物启事	寻物启示
壁立千仞	壁立千刃
涣然冰释	焕然冰释
成绩斐然	成绩蜚然
名门望族	名门旺族
标新立异	标新立意
一语破的	一语破敌
严惩不贷	严惩不怠 严惩不待
买椟还珠	买牍还珠 买犊还珠
相反相成	相反相承
粗制滥造	粗制烂造
心心相印	心心相映 心心相应
同仇敌忾	同仇敌慨
最后通牒	最后通谍
蔓延	曼延 漫延
途经	途径
必需品	必须品
赓续	庚续
血脉偾张	血脉喷张 血脉贲张
情结	情节
行拘	刑拘
蓝天	兰天
度假	渡假
犹如	尤如
饮鸠止渴	饮鸠止渴
奋楫笃行	奋辑笃行
擘画	擎画
返岗	反岗
铆足干劲	卯足干劲
抚慰	妩慰 扶慰
凌乱	另乱
未来	末来
徇私枉法	循私枉法
斑斓	斑澜 斑烂 班斓
端详	端祥
朝廷	朝庭
揣摩	瑞摩 湍摩 惴摩 揣摹
催眠	摧眠
噩耗	恶耗 噩蚝
噩梦	恶梦
发愣	发楞
雕像	雕象
防范	防犯
粉碎	粉粹
分量	份量
幅员	辐员
赋予	付予
股份	股分
害臊	害躁
涵养	函养
耗费	耗废
和蔼	和霭
河槽	河漕
诙谐	恢协 恢谐
诨号	浑号
矫健	骄健
骄纵	娇纵
骄矜	娇矜
缉私	辑私
嫁接	稼接
间谍	间牒
精彩	精采
诅咒	嘴咒 咀咒
抉择	决择
勘误	堪误
林荫	林阴
浏览	流览
笼络	拢络
录像	录象
梦魇	梦靥 梦餍
缅怀	湎怀
描摹	瞄摹 描摩 描模
殴打	欧打
讴歌	呕歌
起讫	起迄
贻害	遗害
引申	引伸
荫庇	阴庇
荫凉	阴凉
鱼竿	鱼杆
渔船	鱼船
蛰居	蜇居
帐篷	账篷 帐蓬
真谛	真缔
振奋	震奋
震慑	振慑 震摄
账号	帐号
肢解	支解
桎梏	桎锢
钟磬	钟罄
通牒	通碟 通谍
通缉	通辑
晤面	悟面
相片	像片
泄露	泻露
亵渎	邪渎 亵读 亵赎
沿用	延用
装扮	妆扮
商榷	商摧 商确
漱口	嗽口 涑口
厮杀	撕杀
诉讼	诉诵
融洽	融恰
省份	省分
清澈	清撤 清沏
洽谈	恰谈 洽淡
辨析	辩析 辫析
九重霄	九重宵
订书机	钉书机
戊戌年	戊戍年
行李包	行旅包
荧光屏	萤光屏
座山雕	座山碉
报仇雪恨	报仇血恨
安邦定国	安帮定国
安分守己	安份守己 安分守已 安份守已
百废待兴	百费待兴
白浪滔天	白浪淘天
报销发票	报消发票
背道而驰	倍道而驰 背道而弛
碧波粼粼	碧波鳞鳞
筚路蓝缕	筚路篮缕
敝帚自珍	蔽帚自珍 敞帚自珍
鞭辟入里	鞭僻入里 鞭辟入理
变幻莫测	变换莫测
不翼而飞	不冀而飞
沧海桑田	苍海桑田
察言观色	察颜观色
瞠目结舌	瞋目结舌
成群结队	成群接队
崇山峻岭	重山峻岭
重蹈覆辙	重倒覆辙 重蹈复辙
唇枪舌剑	唇枪舌箭
寸草春晖	寸草春辉
打抱不平	打报不平
戴罪立功	带罪立功
淡泊明志	淡薄名志
殚思竭虑	惮思竭虑
党同伐异	党同罚异
缔结和约	谛结和约
豆蔻年华	豆寇年华
独抒己见	独书己见
恶贯满盈	恶惯满盈 恶灌满盈
尔虞我诈	尔欲我诈 尔愚我诈
幡然悔悟	翻然悔误
反躬自省	反恭自省
反应灵活	反映灵活
蜚声遐迩	飞声遐迩
蜂拥而上	蜂涌而上
凤毛麟角	凤毛鳞角
覆水难收	复水难收
负隅顽抗	负偶顽抗
高中肄业	高中肆业
各行其是	各行其事
攻城略地	攻城掠地
骨鲠在喉	骨梗在喉
故弄玄虚	故弄弦虚 故弄悬虚
神工鬼斧	神功鬼斧
鬼蜮伎俩	鬼蜮技俩
海市蜃楼	海市胜楼 海市唇楼
亘古未有	恒古未有
侯门似海	候门似海
虎踞龙盘	虎居龙盘 虎据龙盘
怀瑾握瑜	怀瑾握玉
荒诞不经	慌诞不经
浑然一体	混然一体
混为一谈	混为一团
饥肠辘辘	饥肠漉漉
激活经济	击活经济
急流勇退	激流勇退
见异思迁	见义思迁
截长补短	接长补短
揭竿而起	揭杆而起
锦绣河山	锦秀河山
晋升工资	进升工资
晶莹剔透	晶莹惕透
津津有味	精精有味 津津有昧 斤斤有味
迥然不同	炯然不同
鸠占鹊巢	鸩占鹊巢 鸠占雀巢
久负盛名	久负胜名
开仓赈饥	开仓振饥
开门揖盗	开门缉盗
开宗明义	开宗明意 开中明义
恪守不渝	克守不渝
夸夸其谈	夸夸奇谈
窥豹一斑	窥豹一般
滥调文章	烂调文章
老生常谈	老生长谈 老声常谈
厉兵秣马	利兵秣马 历兵秣马 励兵秣马
临风陨泪	临风殒泪
林林总总	嶙嶙总总 林林种种 零零总总
流连忘返	流莲忘返 留恋忘返 留连忘返
孪生姐妹	挛生姐妹
门可罗雀	门可落雀
弥天大谎	迷天大谎
秘而不宣	密而不宣
勉为其难	免为其难
名震一时	名振一时
能伸能屈	能伸能曲
浓妆淡抹	浓装淡抹
赔礼道歉	陪礼道歉
气势汹汹	气势凶凶
平心而论	凭心而论
迄今为止	讫今为止
轻歌曼舞	轻歌慢舞 轻歌漫舞
曲突徙薪	曲突徒薪 曲突徙新
雀小脏全	鹊小脏全
人才荟萃	人才汇萃
人心惟危	人心唯危
如雷贯耳	如雷灌耳
色厉内荏	色厉内任
舍生取义	舍身取义
伸张正义	申张正义
升官晋爵	升官进爵
生杀予夺	生杀与夺
声势赫奕	声势赫弈
始作俑者	始作踊者 始作佣者
势不可当	势不可挡
事情棘手	事情辣手
手不释卷	手不失卷 手不释劵
冰融雪化	冰溶雪化
死不瞑目	死不冥目 死不暝目
死心塌地	死心踏地 死心蹋地
驷马难追	四马难追
碎琼乱玉	粹琼乱玉
韬光养晦	韬光养侮 滔光养晦
贪赃枉法	贪脏枉法
天方夜谭	天方夜谈
天网恢恢	天网灰灰
舐犊情深	舔犊情深
头童齿豁	头痛齿豁
头晕目眩	头晕目炫
荼毒生灵	茶毒生灵 涂毒生灵
乌走鸟飞	兔走鸟飞
脱颖而出	脱颍而出
微言大义	微言大议 微言大意
岿然不动	巍然不动
惟妙惟肖	维妙维俏 唯妙唯肖 唯妙唯俏
违犯刑法	违反刑法
文过饰非	闻过饰非 文过是非
稳操胜券	稳操胜卷
乌烟瘴气	乌烟嶂气 乌烟脏气
无上光荣	无尚光荣
熙熙攘攘	熙煕嚷嚷
闲情逸致	闲情逸志
相辅相成	相辅相承
嚣张跋扈	嚣张拔扈
胁从不问	协从不问
心惊胆战	心惊胆颤
虚度年华	虚渡年华
循声望去	寻声望去
一副中药	一幅中药
一副尊容	一幅尊容
一副眼镜	一付眼镜
一塌糊涂	一蹋糊涂
依然故我	依然固我
绮丽多彩	漪丽多彩
以儆效尤	以警效尤 以儆效优
以身殉职	以身徇职
异曲同工	异曲同功
义愤填膺	义愤填鹰 义愤填赝
意兴盎然	意兴昂然
因材施教	因才施教
芸芸众生	纭纭众生
原驰蜡象	原驰腊象
招徕顾客	招来顾客
仗义疏财	仗义输财
知书达理	知书达礼
至理名言	致理名言 至理明言
珠联璧合	珠连璧合 珠联壁合
追根溯源	追根索源
装腔作势	装腔做势
锱铢必较	淄铢必较 锱株必较 锱珠必较
自鸣得意	自命得意 自名得意
自圆其说	自园其说
众口铄金	众口烁金
责无旁贷	责无旁代
欲盖弥彰	欲盖弥漳 欲盖弥张
营私舞弊	营私舞敝
杳无音讯	沓无音信
图穷匕见	图穷匕现
蜕化变质	退化变质
形销骨立	形消骨立
遐思迩想	暇思迩想
叹为观止	叹为观只 叹为观之
披肝沥胆	披肝历胆
奴颜婢膝	奴颜卑膝
弄巧成拙	弄巧成绌
缠绵悱恻	缠绵悱测
肝脑涂地	肝脑途地
感人肺腑	感人肺腹 感人肺府
膏粱子弟	膏梁子弟
海角天涯	海角天崖
发聋振聩	发聋震聩
激流勇退	急流勇退
离经叛道	离经判道
燎原烈火	缭原烈火
龙蟠虎踞	龙盘虎据
碌碌无为	录录无为 绿绿无为
落英缤纷	落英宾纷
惩前毖后	惩前毙后 惩前必后
美玉无瑕	美玉无暇
铭记不忘	名记不忘
目不交睫	目不交捷
凤冠霞帔	凤冠霞披 凤冠霞佩
震人心魄	振人心魄
不瘟不火	不温不火
坐享其成	坐想其成
巾帼英雄	巾国英雄
日新月异	日新月益
背井离乡	背景离乡
如虹气势	如洪气势
空空如也	空空如野
淋漓尽致	淋漓尽至
